account_uuid,customer_Uuid
f66aa5c7-029e-4314-a9d9-dbec36f72bbd,b41951d8-6969-4619-96ba-e18c81a94f94
cdae6e9c-3040-4d56-9253-54dcc14fd827,5835f6ed-3edb-437c-931a-65ecf486e5e9
7ce677ab-8111-4fd8-a57b-491007475753,2aede487-72c4-426e-b7c8-049558115562
06c295d0-4ed3-4f08-8897-899dcc701b52,c474dbc3-6128-4ddd-b9c6-d0ad3832333c
346054b1-538b-4698-aa3e-f9a5fd7faa0a,3558b17c-e239-447f-8f6e-3c0541037456
3c2a8e4e-a5c6-467c-bd9c-4724c00f9b63,c229fa53-3db8-4646-bd90-b8490fafd642
8e44c6ec-be7a-452c-9965-2d0c280328fa,a5c9b760-3255-4a73-bd45-8327872a4c0a
fe969446-80f9-432a-a9d0-fbe18afd98b6,573ee0fa-d6a6-4026-8cea-454a9bed8457
8f248b79-bc9d-45a7-9404-44efdc032e5c,76c8f11b-4881-4222-b144-bc39a9c8cea0
5beb7bab-46a0-48db-b726-e43ffe965988,8b82414f-a3fe-4bcb-ad3f-9ac2e2521571
f555f2cd-7361-435e-9a1b-b94fa220aab4,55fd6813-9ba8-4306-b1cb-c91dff5496dd
caef3842-dd1c-4a7d-8f13-c2a50bb147aa,eb693baa-f508-4608-88ea-c57377096860
3ebd875d-f33c-41b4-b1d3-885c4ed707b7,969c8258-0e47-4898-9b61-f945734d732d
58a4bc7a-85bc-47d2-8879-5614731d1845,5413c07c-4349-4540-818e-557172549dc7
b7095c54-798f-4a77-bf74-463fa6f97200,26be3212-4591-4b9e-a3f7-b9c151b85ff2
5ee7fb94-0146-49dd-aa29-4d61b20d03b7,3de0dac4-984c-419e-89ea-9b5ee838de9c
e43265da-af43-4093-81ee-7ae570f53fd9,cd109e68-97e5-40e6-8129-475ece98637a
8e0dc435-4d1e-4e50-a2f2-5b25f8176bda,7472bfe4-364c-4bf6-b775-01afcfc367bf
064ead6c-319f-4760-9cf1-cab2cf7f56cf,9070b185-e11b-4a4b-9714-eaa73aa83393
4b33ebf5-d456-4cb5-a4c9-8f8690f8c87c,f48fc596-ea33-41a1-b066-ac53d70cd3e5
9edf0ee0-7485-40e5-8bd8-2a5456bfe234,bde5d21d-b2c8-441f-b44d-e74ad2a47424
b6da2619-c71b-4904-8db0-c2035254d177,2423f5d3-496e-44a7-bc1f-7fe36161a4a7
b08fe1a4-eaa5-45b4-8e69-00ff7a4057b2,c6c236dc-8279-4f33-8bc2-7c9d4902080f
f28c428f-2f50-4c5e-b16d-f7e761b70a2f,307b85a9-e0a4-4a58-beaa-bb9ae20cc984
84b545a3-183f-4a04-923a-0a10a0f7668e,d28a7b8d-446a-4dbc-9285-42e6fbbfb62b
c619e561-19b8-4102-91a8-89c1fca80566,10532216-a55a-4510-9462-3aef6443c223
bf004036-a116-4aa0-82c1-2a6be2ae39b5,970ac071-b08b-4fd5-9f84-03da080a9280
